ProtectedEstuaries;AlphaProtection;AlphBZProtection;ModeProtection;ClustProtection;CompProtection;BruteProtection;;;;;;;;;;;;;
Orange;Mlalazi;Mlalazi;St Lucia;Bree;Mngazana;Mlalazi;;;;;;;;;;;;;
Spoeg;Matigulu/Nyoni;Matigulu/Nyoni;Mlalazi;Touw;Qora;Olifants;;;;;;;;;;;;;
Krom;St Lucia;St Lucia;Matigulu/Nyoni;Great Kei;Bot;Matigulu/Nyoni;;;;;;;;;;;;;
Heuningnes;Mngazana;Mngazana;Knysna;Nenga;Mtamvuna;Groot (East);;;;;;;;;;;;;
Klipdriftsfontein;Kariega;Mntafufu;Kariega;Elsies;Kariega;Klein Brak;;;;;;;;;;;;;
Goukou;Kwelera;Mzamba;Bushmans;Mngazana;Bushmans;Manzimtoti;;;;;;;;;;;;;
Swartvlei;Mntafufu;Mtamvuna;Kosi;Kariega;Mbizana;Kwenxura;;;;;;;;;;;;;
Goukamma;Knysna;Kariega;Mfolozi/Msunduzi;Kwelera;Mkomazi;Gqutywa;;;;;;;;;;;;;
Knysna;Tyolomnqua;Kwelera;Manzimtoti;Mntafufu;Mtentu;Bot;;;;;;;;;;;;;
Sout;Mzamba;Knysna;Mkomazi;Kaaimans;Berg;Gwaing;;;;;;;;;;;;;
Groot (W);Mtamvuna;Tyolomnqua;Kwelera;Bakens;Orange;Kaaimans;;;;;;;;;;;;;
Bloukrans;Mtentu;Kowie;Orange;Mzimkulu;Great Fish;Mgwetyana;;;;;;;;;;;;;
Lottering;Mkomazi;Gqunube;Mtentu;Bushmans;Tyolomnqa;Tyolomnqa;;;;;;;;;;;;;
Elandsbos;Kowie;Bushmans;Mngazana;Elands;Kosi;Mvoti;;;;;;;;;;;;;
Storms;Gqunube;Berg;Ngqusi/Inxaxo;Storms;Manzimtoti;Mpenjati;;;;;;;;;;;;;
Elands;Nqgusi/Inxaxo;Orange;Great Kei;Slang;Matigulu/Nyoni;St Lucia;;;;;;;;;;;;;
Groot (O);Mtata;Olifants;Great Fish;Mlalazi;Kwelera;Mapuzi;;;;;;;;;;;;;
Sundays;Mzimkulu;Diep;Zinkwasi;Matigulu/Nyoni;St Lucia;Knysna;;;;;;;;;;;;;
Mbashe;Lovu;Verlore;Mzamba;St Lucia;Knysna;Kwelera;;;;;;;;;;;;;
Ku-Mpenzu;Zinkwasi;Wildevoel;Mntafufu;Kosi;Mlalazi;Zalu;;;;;;;;;;;;;
Ku-Bhula;;;;;;;;;;;;;;;;;;;
Ntlonyane;;;;;;;;;;;;;;;;;;;
Msikaba;;;;;;;;;;;;;;;;;;;
Mtentu;;;;;;;;;;;;;;;;;;;
Mzamba;;;;;;;;;;;;;;;;;;;
Mpenjati;;;;;;;;;;;;;;;;;;;
Umhlangankulu;;;;;;;;;;;;;;;;;;;
Mgeni;;;;;;;;;;;;;;;;;;;
Mhlanga;;;;;;;;;;;;;;;;;;;
Mdloti;;;;;;;;;;;;;;;;;;;
Mlalazi;;;;;;;;;;;;;;;;;;;
St Lucia;;;;;;;;;;;;;;;;;;;
Kosi;;;;;;;;;;;;;;;;;;;
